itemid,priceupdatedate,itemcode,itemname,manufacturername,manufacturecountry,manufactureritemdescription,unitqty,quantity,unitofmeasure,itemprice,unitofmeasureprice
41748,2025-01-28 10:47:11,710497311007,אוכמניות יח,אראל תוצרת חקלאית בע,,אוכמניות יח,,140.00,גרם,15.90,0.1136
41749,2025-01-28 11:47:10,7290119377053,ממרח אגוזי לוז קקאו,שטראוס,,ממרח אגוזי לוז קקאו,,500.00,100 גרם,19.90,0.0398
41763,2025-01-28 17:07:14,7290001022689,גבינה בולגרית מעודנת,סוטאש,תורכיה,גבינה בולגרית מעודנת,"פריט    ",1.00,"ק""ג     ",49.90,49.9000
41767,2025-01-29 09:47:12,7290108357219,סנובון כחול בניחוח ל,סנו,ישראל,סנובון כחול בניחוח ל,"Unknown ",0.00,"יחידה   ",14.90,0.0000
41783,2025-01-29 15:07:10,8720181482731,דאודורנט אקס פרימיום,יוניליוור,אנגליה,דאודורנט אקס פרימיום,מיליליטרים,150.00,"100 מ""ל",,0.0993
26249,2025-02-03 10:12:50,7290116532264,שלגוני גודיז לייט אפ,גלידות שטראוס,ישראל,שלגוני גודיז לייט אפ,גרמים,300.00,100 גרם,26.90,0.0897
11935,2025-02-03 10:12:51,7290001327791,גלידה קרמיסימו וניל,,,גלידה קרמיסימו וניל,קילוגרמים,1.33,"ליטר    ",21.50,16.1654
11967,,7290008806961,גלידה קרמיסימו שוקול,,,גלידה קרמיסימו שוקול,,,,,
12005,,7290015597210,טילוני קורנטו וניל 6,,,טילוני קורנטו וניל 6,גרמים,360.00,100 גרם,32.90,0.0914
25822,2025-02-03 10:12:52,7290116532271,שלגוני גודיז לייט שט,,,שלגוני גודיז לייט שט,,270.00,,29.90,0.1107
34791,,64144030941,תרסיס שמן קנולה פאם,קונגרה,ארצות הברית,תרסיס שמן קנולה פאם,,340.00,,24.50,0.0721
41862,2025-02-04 13:47:11,96619992904,מגבונים קירקלנד ללא,N-F,,מגבונים קירקלנד ללא,"Unknown ",0.00,"יחידה   ",13.90,0.0000
2226,2025-02-05 13:45:47,7290108505689,גבינת גרנה פדנו מגור,זנאטי,איטליה,גבינת גרנה פדנו מגור,גרמים,100.00,100 גרם,11.90,0.1190
25156,,7290108505726,אצבעות גבינה 25% יור,אונטד גידה,תורכיה,אצבעות גבינה 25% יור,,200.00,,16.90,0.0845
31347,,7290108506709,גבינת פרמג'יאנו רג'י,זנאטי,טאיוון,גבינת פרמג'יאנו רג'י,,150.00,,25.90,0.1727
32718,,7290001022375,גבינת שמנת טבעי 18%,אונטד גידה,תורכיה,גבינת שמנת טבעי 18%,"פריט    ",1.00,"ק""ג     ",28.90,28.9000
41900,2025-02-06 10:27:12,7290002129462,מארז פיצה איטלקית דק,שלושת האופים,ישראל,מארז פיצה איטלקית דק,גרמים,640.00,100 גרם,24.90,0.0389
10193,2022-04-11 17:44:31,7290014017337,אבקת מרק בצל ל.גלוטן,נטורל קייקס,,אבקת מרק בצל ל.גלוטן,,400.00,,19.90,0.0497
10335,2022-04-11 17:44:32,7290014435841,פילה מטיאס שמיר 200,סלטי שמיר 2006 בעמ,,פילה מטיאס שמיר 200,,200.00,,16.90,0.0845
10913,2022-04-11 17:44:34,7290103157111,מפת אלבד גליל 1.2*20,דיספובד,,מפת אלבד גליל 1.2*20,"Unknown ",0.00,"יחידה   ",29.90,0.0000
11270,2022-04-11 17:44:36,7290112485250,סט סכום מהודר כסף נצ,פאלאס,סין,סט סכום מהודר כסף נצ,,,,,
11346,,87752022627,יין נתזים מה מייזון,רויאל ויין קורפ,ארצות הברית,יין נתזים מה מייזון,מיליליטרים,750.00,"100 מ""ל",,0.0399
11853,2022-04-11 17:44:38,5010391101007,ליקר דרמבוי 1 ליטר,גלזגו,סקוטלנד,ליקר דרמבוי 1 ליטר,קילוגרמים,1.00,"ליטר    ",149.90,149.9000
14827,2022-04-11 17:44:50,7290009004519,שום סולו 250 גרם,אראל תוצרת חקלאית בע,ישראל,שום סולו 250 גרם,גרמים,250.00,100 גרם,9.90,0.0396
16681,2022-04-11 17:44:57,7290000977713,אגוז קליפה טבעי במשק,דין שיווק,,אגוז קליפה טבעי במשק,קילוגרמים,1.00,"ק""ג",45.00,45.0000
16705,,7290003272006,חטיף תאילנדי במשקל,,תאילנד,חטיף תאילנדי במשקל,,,,85.00,85.0000
16709,,7290006222503,בונדוק מצופה בטעמים,,תורכיה,בונדוק מצופה בטעמים,,,,99.00,99.0000
16761,,7290009951479,תערובת הבית,נפטון,ישראל,תערובת הבית,,,,120.00,120.0000
18049,2022-04-11 17:45:03,7290008257138,פטמות לבקבוק צר אריס,אריסטוקרט,,פטמות לבקבוק צר אריס,"Unknown ",0.00,"יחידה   ",4.90,0.0000
18086,,7290105181732,מוצצים סדרת מלכות אר,,,מוצצים סדרת מלכות אר,,,,19.90,
19714,2022-04-11 17:45:09,7290000000466,בצל ירוק ארוז,ברכת קטיף,,בצל ירוק ארוז,,,,4.90,
22289,2022-04-11 17:45:19,7290018795385,חסה לליק,מרינה,,חסה לליק,,,,12.90,
24946,2022-04-11 17:45:30,693493089319,מולטי ויטמין אקסטרה,מעבדות,,מולטי ויטמין אקסטרה,,,,59.90,
24959,,693493089487,דובוני מולטי ויטמין,מיה תעשיות מזון בעמ,,דובוני מולטי ויטמין,,,,39.90,
25625,2022-05-18 08:07:06,7290108509816,גבינת בייבי מוצרלה 2,אונטד גידה,תורכיה,גבינת בייבי מוצרלה 2,גרמים,200.00,100 גרם,12.90,0.0645
25753,2022-05-25 15:47:06,7290015593595,יין דומיין לה קלור ס,אפריטיף,צרפת,יין דומיין לה קלור ס,מיליליטרים,750.00,"100 מ""ל",79.90,0.1065
22126,2022-05-27 10:09:24,7290108621105,יין 1848 לימיטד אדיש,יקב 1848,ישראל,יין 1848 לימיטד אדיש,,,,149.90,0.1999
24915,2022-07-13 05:55:32,7290002035138,מקרל שלם אלדג במשקל,אלדג,,מקרל שלם אלדג במשקל,קילוגרמים,1.00,"ק""ג",119.00,119.0000
13213,2022-07-13 06:02:21,7290004939168,קבנוס חפץ חיים 250 ג,ש.ב מטעם,,קבנוס חפץ חיים 250 ג,גרמים,250.00,100 גרם,34.90,0.1396
7474,2022-07-24 16:33:43,7290000598949,מצות חמץ חיטה מלאה י,מצות יהודה,,מצות חמץ חיטה מלאה י,,300.00,,16.50,0.0550
26666,2022-08-02 09:47:07,7290018090930,יין שמאי קברנה סובינ,יקב צוובנר,,יין שמאי קברנה סובינ,מיליליטרים,750.00,"100 מ""ל",99.90,0.1332
4736,2022-09-01 15:49:03,7290002111818,תירס גרעינים מבורך 4,זנלכל,,תירס גרעינים מבורך 4,גרמים,400.00,100 גרם,5.90,0.0148
27259,2022-09-11 12:27:06,7290019230045,חלה מתוקה אמריקאית 4,ספיישל בייקרי,,חלה מתוקה אמריקאית 4,,450.00,,14.90,0.0331
27424,2022-09-19 11:47:06,693493192521,אבקת חלבון בטעם שוקו,א.מ.ב,,אבקת חלבון בטעם שוקו,,400.00,,69.00,0.1725
27516,2022-09-22 14:27:06,7290018795927,צנונית ארוזה 400 גרם,מרינה,,צנונית ארוזה 400 גרם,,,,5.90,0.0148
13493,2022-10-02 08:00:54,7290015321174,פפריקה מתוקה פרג 300,תבליני הדור השלישי,,פפריקה מתוקה פרג 300,,300.00,,21.90,0.0730
13498,,7290015321228,זנגוויל פרג 200 גרם,,,זנגוויל פרג 200 גרם,,200.00,,,0.1095
13505,,7290015321310,תבלין לשווארמה פרג 2,,,תבלין לשווארמה פרג 2,,250.00,,,0.0876
27852,2022-10-27 13:07:07,7290014555723,תחליב נובו אקזוטי 70,סאסאטק,,תחליב נובו אקזוטי 70,מיליליטרים,700.00,"100 מ""ל",7.90,0.0113
13964,2023-01-02 11:22:09,7290110329808,מעדן סויה ביו תות אל,תנובה,,מעדן סויה ביו תות אל,גרמים,150.00,100 גרם,4.70,0.0313
26012,2023-01-08 12:56:57,7290018652657,שלגוני לייט נסטלה מנ,גלידות נסטלה,,שלגוני לייט נסטלה מנ,,312.00,,26.90,0.0862
29355,2023-01-10 09:47:07,7290019094319,לבבות חסה גלאט עלים,רביבים,,לבבות חסה גלאט עלים,,200.00,,13.90,0.0695
29356,,835811000594,לקקנים בצורת פירות ב,גואנדטנג היטון פוד,סין,לקקנים בצורת פירות ב,,150.00,,10.90,0.0727
16831,2023-01-29 20:27:19,7290012309939,חלוה מסולסלת ששון הק,אקאר,ישראל,חלוה מסולסלת ששון הק,,500.00,,16.90,0.0338
4277,2023-02-01 11:48:52,835811003106,כפות הגשה מפלסטיק שק,מיקרון מקינה,תורכיה,כפות הגשה מפלסטיק שק,"Unknown ",0.00,"יחידה   ",12.90,0.0000
14809,2023-03-09 14:46:46,7290009003154,אבטיח,אראל תוצרת חקלאית בע,ישראל,אבטיח,קילוגרמים,1.00,"ק""ג",5.90,5.9000
988,2023-04-16 11:01:28,844510013125,יין ג'רוזלם הילז מרל,אגדת,,יין ג'רוזלם הילז מרל,מיליליטרים,750.00,"100 מ""ל",41.90,0.0559
31232,2023-05-01 11:27:08,7290118420811,פריכיות דקות דגנים א,פרח תעשיות,,פריכיות דקות דגנים א,גרמים,80.00,100 גרם,10.90,0.1363
31233,,7290118420835,פריכיות דקות מיקס 3,,,פריכיות דקות מיקס 3,,,,,
31518,2023-05-23 11:07:08,7290011725112,עירית מהדרין ברכת דו,מרינה,,עירית מהדרין ברכת דו,"Unknown ",0.00,"יחידה   ",5.90,0.0000
7092,2023-05-28 11:01:40,7290006306319,רביולי בטטה נונה 400,פסטה נונה,,רביולי בטטה נונה 400,גרמים,400.00,100 גרם,25.90,0.0647
4559,2023-06-13 09:13:48,7290102398638,משקה מוקה טרה 1 ליטר,טרה,,משקה מוקה טרה 1 ליטר,קילוגרמים,1.00,"ליטר    ",12.40,12.4000
4561,,7290102398669,משקה אייס קפוצ'ינו ט,,,משקה אייס קפוצ'ינו ט,,,,,
31847,2023-06-22 08:07:08,7290117382875,ממרח פסטו אדום מאסטר,סימנס,איטליה,ממרח פסטו אדום מאסטר,גרמים,190.00,100 גרם,15.80,0.0832
32231,2023-07-13 13:27:07,7290108620481,יין אסטייט בלנד אדום,יקבי ציון,ישראל,יין אסטייט בלנד אדום,קילוגרמים,1.50,"ליטר    ",69.90,46.6000
32240,2023-07-16 11:07:07,7290115202816,מנה חמה נודלס בטעם ע,תאי פרזידנט,תאילנד,מנה חמה נודלס בטעם ע,גרמים,70.00,100 גרם,4.50,0.0643
32606,2023-08-01 15:27:07,7290112005540,מילוי מבשם אוטומטי א,רקיט בנקיזר,פולין,מילוי מבשם אוטומטי א,מיליליטרים,228.00,"100 מ""ל",19.90,0.0873
32612,2023-08-02 06:07:17,7290009009620,סלט קולסלאו ערוגות ג,",",ישראל,סלט קולסלאו ערוגות ג,"Unknown ",0.00,"יחידה   ",11.90,0.0000
32911,2023-08-15 17:07:07,8593868000302,בירה סטארופרמן בקבוק,סטארופרמן,צכיה,בירה סטארופרמן בקבוק,מיליליטרים,500.00,"100 מ""ל",,0.0238
32912,,8593868006847,בירה מילר פחית 500 מ,מילר,ארצות הברית,בירה מילר פחית 500 מ,,,,,
2544,2023-09-20 11:44:58,5410126116953,ממרח עוגיות לוטוס 40,לוטוס,בלגיה,ממרח עוגיות לוטוס 40,גרמים,400.00,100 גרם,21.50,0.0538
2546,,5410126726947,ממרח עוגיות קראנצ לו,,,ממרח עוגיות קראנצ לו,,380.00,,,0.0566
34010,2023-10-09 11:07:07,3574660066203,קרם ידיים ניוטרוג'ינ,גונסון אנד גונסון,צרפת,קרם ידיים ניוטרוג'ינ,מיליליטרים,75.00,"100 מ""ל",19.90,0.2653
309265,2022-07-26 08:08:19,7290017884189,כעכים מצופים שירה 50,מאפיית ישראל חיפה,ישראל,כעכים מצופים שירה 50,גרמים,500.00,100 גרם,11.50,2.3000
324018,2022-08-02 12:26:24,7290018090879,יין שמאי קברנה ספייש,יקב צוובנר,,יין שמאי קברנה ספייש,מיליליטרים,750.00,"100 מ""ל",219.90,29.3200
324521,2022-09-11 12:27:33,7290019230045,חלה מתוקה אמריקאית 4,ספיישל בייקרי,,חלה מתוקה אמריקאית 4,גרמים,450.00,100 גרם,14.90,3.3111
325070,2022-10-30 11:02:31,7290001072882,שמפו לסירוק קל נובו,סאסאטק,,שמפו לסירוק קל נובו,מיליליטרים,700.00,"100 מ""ל",7.90,1.1286
325250,2022-11-03 16:47:39,7290018165010,יין ברקן גולד אדישן,יקבי ברקן,,יין ברקן גולד אדישן,,750.00,,37.90,5.0533
295565,2023-01-02 09:44:40,7290008670159,יין רקנאטי יסמין לבן,יקב רקאנטי,,יין רקנאטי יסמין לבן,,,,36.50,4.8667
326469,2023-01-10 15:47:37,8033275522368,יין מונטארו קיאנטי,סרסטל,איטליה,יין מונטארו קיאנטי,,,,54.90,7.3200
270110,2023-01-23 11:15:10,7290010193967,קישקע גלאט עוף 600 ג,מ ב גלאט עוף למהדרין,ישראל,קישקע גלאט עוף 600 ג,גרמים,600.00,100 גרם,21.90,3.6500
327002,2023-02-15 17:07:36,7290017221397,יין חירות בלנד 2021,יקב חירות,,יין חירות בלנד 2021,מיליליטרים,750.00,"100 מ""ל",149.90,19.9867
296452,2023-02-26 12:47:08,7290004093143,שוקיים עוף קפוא עוף,יסכה,,שוקיים עוף קפוא עוף,קילוגרמים,1.00,"ק""ג",29.90,29.9000
321251,2023-04-24 09:10:09,7290115207965,סירופ ויטמינצ'יק מנג,אסם,,סירופ ויטמינצ'יק מנג,,,"ליטר    ",12.90,12.9000
313107,2023-04-26 10:08:26,844510013125,יין ג'רוזלם הילז מרל,אגדת,,יין ג'רוזלם הילז מרל,מיליליטרים,750.00,"100 מ""ל",41.90,5.5867
328389,2023-05-23 11:07:37,7290011725112,עירית מהדרין ברכת דו,מרינה,,עירית מהדרין ברכת דו,"Unknown ",0.00,"יחידה   ",5.90,0.0000
298466,2023-05-28 13:48:49,7290016867152,פיתות קלות כוסמין דר,המאפה של דר מרק בריא,,פיתות קלות כוסמין דר,גרמים,292.00,100 גרם,14.90,5.1027
311658,2023-05-30 07:30:14,7290110110659,"ספרייט 330 מ""ל",קוקה קולה,,"ספרייט 330 מ""ל",מיליליטרים,330.00,"100 מ""ל",3.90,1.1818
328469,2023-06-01 16:07:40,7290018195659,סוכריות סודה בצורת ק,גאונגדונג צ'אואן האי,סין,סוכריות סודה בצורת ק,גרמים,240.00,100 גרם,19.90,8.2917
328472,,7290019568575,סוכריות סודה בצורת כ,,,סוכריות סודה בצורת כ,,216.00,,,9.2130
328524,2023-06-08 09:27:37,7290119039937,עוגת פס נפוליאון 400,קפולסקי אדל בעמ,ישראל,עוגת פס נפוליאון 400,,400.00,,44.90,11.2250
312172,2023-06-11 08:54:26,7290102398669,משקה אייס קפוצ'ינו ט,טרה,,משקה אייס קפוצ'ינו ט,קילוגרמים,1.00,"ליטר    ",12.40,12.4000
293091,2023-06-11 08:54:35,7290101869764,מבשם אוטומטי אירוויק,רקיט בנקיזר,פולין,מבשם אוטומטי אירוויק,"Unknown ",0.00,"יחידה   ",44.90,0.0000
328646,2023-06-15 13:07:39,7290016867299,"לחמניות כוסמין ד""ר מ",מאפית י את א ברמן בע,ישראל,"לחמניות כוסמין ד""ר מ",גרמים,428.00,100 גרם,18.90,4.4159
328692,2023-06-22 08:27:40,7290117382875,ממרח פסטו אדום מאסטר,סימנס,איטליה,ממרח פסטו אדום מאסטר,,190.00,,15.80,8.3158
328709,2023-06-22 15:47:38,4210201354369,ראש חשמלי למברשת שינ,פרוקטר & גמבל,גרמניה,ראש חשמלי למברשת שינ,"Unknown ",0.00,"יחידה   ",69.90,0.0000
328879,2023-07-01 14:28:08,838948009829,צנימים דקים מלבה שני,אנ.וו.טי.,איטליה,צנימים דקים מלבה שני,גרמים,100.00,100 גרם,7.90,7.9000
329006,2023-07-09 10:47:37,633710238533,מיונז בשפופרת טומי 2,נסטלה,שווייץ,מיונז בשפופרת טומי 2,,265.00,,17.90,6.7547
312008,2023-08-06 09:39:55,87752026458,ליקר שמרלינג שוקולד,ביקלס,איטליה,ליקר שמרלינג שוקולד,מיליליטרים,750.00,"100 מ""ל",99.90,13.3200
329512,2023-08-08 08:07:40,7290001022375,גבינת שמנת טבעי 18%,אונטד גידה,תורכיה,גבינת שמנת טבעי 18%,"פריט    ",1.00,"ק""ג     ",26.90,26.9000
329695,2023-08-15 17:07:40,8593868000050,בירה סטארופרמן פחית,סטארופרמן,צכיה,בירה סטארופרמן פחית,מיליליטרים,500.00,"100 מ""ל",11.90,2.3800
329717,2023-08-16 14:47:39,7290018045961,דגני  בוקר האני בנצ',פוסט לקיוויל,ארצות הברית,דגני  בוקר האני בנצ',גרמים,340.00,100 גרם,21.90,6.4412
329940,2023-08-24 14:07:44,7290110058869,ביצי שוקולד עם הפתעה,לויג' זאיני,איטליה,ביצי שוקולד עם הפתעה,,90.00,,14.90,16.5556
330137,2023-09-06 11:47:40,87752016404,יין אור הגנוז הר סינ,חבל יתיר,לא ידוע,יין אור הגנוז הר סינ,מיליליטרים,750.00,"100 מ""ל",99.90,13.3200
330153,2023-09-06 15:47:39,7290108620337,יין אדום מתוק מתיישן,יקבי ציון,ישראל,יין אדום מתוק מתיישן,,,,,
330228,2023-09-10 13:47:38,7290015652148,רוטב עגבניות ארביאטה,גוסטובוב אלמנטארי,תורכיה,רוטב עגבניות ארביאטה,גרמים,400.00,100 גרם,9.90,2.4750
260583,2023-09-20 07:13:03,5410126116953,ממרח עוגיות לוטוס 40,לוטוס,בלגיה,ממרח עוגיות לוטוס 40,,,,18.90,4.7250
268540,,5410126726947,ממרח עוגיות קראנצ לו,,,ממרח עוגיות קראנצ לו,,380.00,,19.90,5.2368
324758,2023-10-01 07:43:24,7290008611077,פילה סלמון נורווגי ב,סיבורן,נורווגיה,פילה סלמון נורווגי ב,קילוגרמים,1.00,"ק""ג",69.90,69.9000
331299,2023-11-16 10:09:27,7290012205668,סוכריות דחוסות לקקן,דה בסט,סין,סוכריות דחוסות לקקן,גרמים,126.00,100 גרם,3.90,3.0952
303046,2023-11-19 12:50:47,7290001970775,בוטן קלוי ענק במשקל,דין שיווק,,בוטן קלוי ענק במשקל,קילוגרמים,1.00,"ק""ג",29.00,29.0000
331531,2023-11-27 16:27:40,712963006004,שוקולד רומונט מריר ק,זבסבו די די,קרואטיה,שוקולד רומונט מריר ק,גרמים,100.00,100 גרם,9.90,9.9000
331657,2023-12-03 10:27:45,7290112487667,צלחות לפתן פרח ורוד,פאלאס,תורכיה,צלחות לפתן פרח ורוד,"Unknown ",0.00,"יחידה   ",6.90,0.0000
331681,2023-12-03 16:27:40,7613036984454,קפסולות סטארבקס נטול,אסם,ישראל,קפסולות סטארבקס נטול,גרמים,57.00,100 גרם,21.50,37.7193
331733,2023-12-15 08:31:14,7290019308553,שעועית ירוקה חתוכה ו,הורפרוסט,בלגיה,שעועית ירוקה חתוכה ו,,800.00,,5.90,0.7375
331779,2023-12-20 07:55:41,7290112545657,מארז סוללות שנפ 4*10,ningbo battery,סין,מארז סוללות שנפ 4*10,"Unknown ",40.00,"יחידה   ",49.90,1.2475
331884,2023-12-25 11:27:44,7290117767962,מיכל 1 ליטר 10 יח,אוזסן,תורכיה,מיכל 1 ליטר 10 יח,,0.00,,9.90,0.0000
332023,2024-01-01 09:27:45,7290117265253,צהובה קלאסית פרוסות,גולד פרוסט,ישראל,צהובה קלאסית פרוסות,"פריט    ",1.00,"ק""ג     ",39.90,39.9000
256181,2024-01-07 07:02:38,7290009077575,זית סורי במשקל,דין שיווק,יוון,זית סורי במשקל,קילוגרמים,,"ק""ג",49.00,49.0000
250031,2024-01-09 10:28:55,7290004048525,פילה אמנון דלידג עם,דלידג,ישראל,פילה אמנון דלידג עם,,,,24.90,24.9000
255590,2024-01-28 07:40:26,7290013269911,תרסיס קוטל K333 זוחל,סנו,,תרסיס קוטל K333 זוחל,מיליליטרים,750.00,"100 מ""ל",26.90,3.5867
323391,2024-01-28 07:40:29,7290108357882,מרכך כיף אפרסק וחמאת,,,מרכך כיף אפרסק וחמאת,,700.00,,7.90,1.1286
311707,2024-01-28 07:40:43,7290101869818,מטהר חשמלי אירוויק +,רקיט בנקיזר,אנגליה,מטהר חשמלי אירוויק +,"Unknown ",0.00,"יחידה   ",25.90,0.0000
332390,2024-01-28 15:27:39,7290117905791,סוכריות גומי קפיצי ד,",",ישראל,סוכריות גומי קפיצי ד,גרמים,300.00,100 גרם,14.90,4.9667
255813,2024-02-13 07:17:30,7290013677129,שעועית מעורבת סלקטד,מיה תעשיות מזון בעמ,,שעועית מעורבת סלקטד,,500.00,,11.70,2.3400
332648,2024-02-14 15:47:38,811146031816,דיבטס בטעם פטל 14*8,אובו יאפו פוד,סין,דיבטס בטעם פטל 14*8,,112.00,,8.90,7.9464
302560,2024-02-18 07:52:47,8003750001725,ליקר ביצ'רין שוקולד,וינסנזי,איטליה,ליקר ביצ'רין שוקולד,מיליליטרים,700.00,"100 מ""ל",78.90,11.2714
318795,2024-02-18 07:53:11,5099873088654,ויסקי ג'ק דניאלס סינ,ג'ק דניאלס,ארצות הברית,ויסקי ג'ק דניאלס סינ,,,,149.90,21.4143
289571,2024-03-03 06:48:18,7290002922964,קוקטייל עוף טרי קהיל,עוף עוז,ישראל,קוקטייל עוף טרי קהיל,קילוגרמים,1.00,"ק""ג",39.90,39.9000
332945,2024-03-03 15:27:41,7290017289847,יין  טפרברג לגסי קבר,חבל יתיר,,יין  טפרברג לגסי קבר,מיליליטרים,750.00,"100 מ""ל",199.90,26.6533
265981,2024-03-04 07:47:15,7290011457051,ליקר צאלו שוקולד 500,ישראליקר,,ליקר צאלו שוקולד 500,,500.00,,32.90,6.5800
265984,2024-03-04 07:47:16,7290103203412,ליקר צאלו שוקולד מנט,,,ליקר צאלו שוקולד מנט,,,,,
321640,2024-03-26 05:39:24,43427240017,חומץ בלסמי אורגני לי,ליברס,ארצות הברית,חומץ בלסמי אורגני לי,,,,24.90,4.9800
333448,2024-03-27 16:07:39,7290117905449,פרוסות פלפל חלפיניו,וינשל נטורי פוד,הודו,פרוסות פלפל חלפיניו,גרמים,360.00,100 גרם,7.90,2.1944
333471,2024-03-28 11:27:38,7290002292746,לשון בקר קפוא אחדות,סירסיל,אורוגואי,לשון בקר קפוא אחדות,קילוגרמים,1.00,"ק""ג",119.90,119.9000
333480,2024-03-28 13:47:39,7290117906408,חלבה שקדים שקדיה 400,עאקר חפז,ישראל,חלבה שקדים שקדיה 400,גרמים,400.00,100 גרם,14.90,3.7250
327735,2024-03-31 07:50:56,7290000453859,נטורינה בטעם חמאה שמ,פאקא תעשיות בעמ,דנמרק,נטורינה בטעם חמאה שמ,,200.00,,6.90,3.4500
333642,2024-04-08 11:27:38,7290112488428,"סט סכו""ם כתר לפיד כס",פאלאס,סין,"סט סכו""ם כתר לפיד כס","Unknown ",0.00,"יחידה   ",29.90,0.0000
324544,2024-05-05 07:24:33,835811000501,סירופ מייפל 100% דלי,פרסטייל מייפל,קנדה,סירופ מייפל 100% דלי,גרמים,250.00,100 גרם,24.90,9.9600
334030,2024-05-06 09:27:39,7290019816652,שלגוני מיני קראנצ פק,גלידות נסטלה,ישראל,שלגוני מיני קראנצ פק,,275.00,,22.90,8.3273
261635,2024-05-19 07:31:17,7290014758544,חמאה תנובה 200 גרם ה,תנובה מרכז שיתופי לש,,חמאה תנובה 200 גרם ה,,200.00,,7.90,3.9500
320450,2024-05-19 07:31:21,7290110329136,מעדן חלב גו 12 מועשר,,,מעדן חלב גו 12 מועשר,,120.00,,4.90,4.0833
320452,,7290110329143,,,,,,,,,
323361,2024-05-19 07:31:22,7290116930701,,,,,,,,,
329354,2024-05-22 07:39:02,7290110117047,פיוז תה זירו גרין בט,FUZE TEA,,פיוז תה זירו גרין בט,קילוגרמים,1.50,"ליטר    ",8.30,5.5333
334351,2024-05-23 11:07:38,4251039439712,מצית טורבו בריקו,",",לא ידוע,מצית טורבו בריקו,"Unknown ",0.00,"יחידה   ",14.90,0.0000
288755,2024-05-30 07:23:05,7290105434050,דאודורנט ספיד סטיק י,קולגייט פלמוליב,בלרוס,דאודורנט ספיד סטיק י,גרמים,85.00,100 גרם,17.90,21.0588
334482,2024-06-02 16:27:40,853044006541,מנגו מיובש ממותק פרד,ג. אולימפיק,ארצות הברית,מנגו מיובש ממותק פרד,"פריט    ",1.00,"ק""ג     ",79.90,79.9000
317069,2024-06-16 07:47:12,835811002994,סט מרקיות ולפתניות צ,מיקרון מקינה,תורכיה,סט מרקיות ולפתניות צ,"Unknown ",0.00,"יחידה   ",21.90,0.0000
256893,2024-06-23 07:31:32,7290002133889,גבינה בולגרית מעודנת,מחלבת השומרון,ישראל,גבינה בולגרית מעודנת,גרמים,250.00,100 גרם,,8.7600
334854,2024-06-23 16:07:38,7290017617626,טונה בשמן סטארקיסט 4,סטארקיסט,,טונה בשמן סטארקיסט 4,,640.00,,24.90,3.8906
334998,2024-06-30 14:27:40,7290017232218,לחם קלאסי איטסיין 43,דוידוביץ,,לחם קלאסי איטסיין 43,,430.00,,,5.7907
334999,,7290017232225,לחם גלילי איטסיין 43,,,לחם גלילי איטסיין 43,,,,,
319967,2024-07-07 07:34:49,7290000136486,גאמפ אשכוליות דיאט 1,טמפו,,גאמפ אשכוליות דיאט 1,קילוגרמים,1.50,"ליטר    ",6.30,4.2000
314820,2024-08-04 06:58:58,7290015879712,תערובת איטלקית לעוגו,DFS,איטליה,תערובת איטלקית לעוגו,גרמים,500.00,100 גרם,16.90,3.3800
335729,2024-08-18 15:27:45,7290019981213,נתחי טונה בשמן בסט 4,NINGBO,סין,נתחי טונה בשמן בסט 4,,560.00,,14.90,2.6607
335805,2024-08-22 09:27:40,5010327755014,ג'ין הנדריקס אורגינל,וויליאם גרנטס ובניו,סקוטלנד,ג'ין הנדריקס אורגינל,מיליליטרים,700.00,"100 מ""ל",149.90,21.4143
292168,2024-08-26 08:43:10,7290104857232,צלחות קטנות טופ סטאר,פאלאס,יוון,צלחות קטנות טופ סטאר,"Unknown ",0.00,"יחידה   ",3.90,0.0000
336261,2024-09-18 14:27:41,7441029616750,אננס יחידה,אראל תוצרת חקלאית בע,ישראל,אננס יחידה,,,,29.90,
336376,2024-09-25 16:07:42,7290112126139,אצבעות גבינה הכפר הל,מ.ס מלקוביטה לודווה,פולין,אצבעות גבינה הכפר הל,גרמים,84.00,100 גרם,5.90,7.0238
336403,2024-09-26 13:27:42,7290116532899,נשנושים בטעם פלאפל א,בייגל בייגל,ישראל,נשנושים בטעם פלאפל א,,155.00,,10.50,6.7742
336456,2024-10-06 14:47:42,7290020080806,נפוליטנים מריר טעמן,אי וי קיי קונפקטיונר,אוקראינה,נפוליטנים מריר טעמן,,100.00,,11.90,11.9000
315555,2024-10-30 09:00:30,786150000281,מארז בירה לף בראון 6,בר הוגרדן,בלגיה,מארז בירה לף בראון 6,קילוגרמים,1.98,"ליטר    ",39.90,20.1515
245837,2024-11-07 08:08:41,7290009000146,עגבניות תמר,אראל תוצרת חקלאית בע,ישראל,עגבניות תמר,,1.00,"ק""ג",11.90,11.9000
336792,2024-11-10 11:27:44,7290112488770,סט צלחות ונוס מרקיות,פאלאס,סין,סט צלחות ונוס מרקיות,"Unknown ",0.00,"יחידה   ",29.90,0.0000
322718,2024-11-24 08:42:55,7290114311038,שמנת מתוקה 32% בבקבו,טרה,ישראל,שמנת מתוקה 32% בבקבו,מיליליטרים,250.00,"100 מ""ל",4.90,1.9600
328216,2024-12-02 06:43:31,7290019153757,תפוזינה תות פירות יע,יפאורה תבורי,,תפוזינה תות פירות יע,קילוגרמים,1.50,"ליטר    ",7.20,4.8000
